site_id,slot,energy_wh_mean,energy_wh_median,cfp_g_mean,cfp_g_median,n_days
site_ad3433ffac,0,156.3803945060402,89.23696961805555,74.2139130886657,7.627113724999999,80
site_ad3433ffac,1,189.18997682335103,104.76115798523826,118.38086004032702,9.284036461478957,87
site_ad3433ffac,2,234.2379565264059,130.3275564236111,122.83227664242699,20.141346003472226,87
site_ad3433ffac,3,182.45113001724013,110.03120746527776,87.97453510083402,13.808414841666664,87
site_ad3433ffac,4,181.69695548228972,93.2096779513889,115.47153200981548,16.342096782812497,91
site_ad3433ffac,5,208.23105124050198,126.11212065972222,109.96287186722189,13.417387433333332,93
site_ad3433ffac,6,182.36951613576218,138.1480416666666,95.32525600052234,13.396824608333327,93
site_ad3433ffac,7,210.0830520162171,127.2150954643975,96.01340235035309,13.262090878219391,93
site_ad3433ffac,8,161.64780604605698,126.89302039930557,78.23978394236856,13.52216351416633,92
site_ad3433ffac,9,178.1247419615787,111.45021657986109,93.6460599506827,12.855773495833333,94
site_ad3433ffac,10,167.42498633485405,145.93741840277778,80.390333783452,15.008864295833334,93
site_ad3433ffac,11,180.0452785966898,111.6701953125,95.44846123931816,19.42989587597213,93
site_ad3433ffac,12,192.5703563059316,133.65557465277777,101.12884686238851,26.510579470382385,95
site_ad3433ffac,13,178.89016550528723,109.62526432291665,101.6619245742624,13.296853870833335,100
site_ad3433ffac,14,211.72374916591104,140.41501736111113,126.88499257248418,19.272164503472226,97
site_ad3433ffac,15,211.2186653876476,129.75011003216113,129.2767065269062,12.561725184895828,97
site_ad3433ffac,16,215.66289912889107,150.99075347222225,118.19810639358113,14.731722123463614,98
site_ad3433ffac,17,233.3304615870534,156.98108680555558,136.82090045544538,15.864205554166666,99
site_ad3433ffac,18,222.72797734953025,156.00992259035476,137.09625355163598,16.590147670833336,97
site_ad3433ffac,19,217.48540650678748,146.5934509548611,121.5772776262406,15.048199220833332,94
site_ad3433ffac,20,228.37004138500967,149.91186371527778,117.98196817770634,16.657197229166663,97
site_ad3433ffac,21,221.65708006476723,136.0598628472222,124.15177804446394,18.70017214236111,97
site_ad3433ffac,22,194.9521434515488,149.39037524790928,104.91526817088008,19.16655892916667,97
site_ad3433ffac,23,210.63862625484683,151.7794218749999,114.71517292882234,22.033426326041663,97
site_ad3433ffac,24,231.15005862528633,162.80715538194443,174.75073324039045,18.931741441666667,97
site_ad3433ffac,25,255.91147047473996,178.41029036458337,157.0483544020321,17.64391864583333,98
site_ad3433ffac,26,252.32991561067686,159.95498115059007,155.8659307873443,28.558646270566975,99
site_ad3433ffac,27,293.41200004303323,197.33498305034038,230.30812631171062,27.96968258144483,100
site_ad3433ffac,28,251.10464890811485,191.4434942752048,159.74061903730262,21.47151042962781,99
site_ad3433ffac,29,248.3862713653588,174.7135548706475,161.09062557542,21.255824431696063,102
site_ad3433ffac,30,222.7528378694645,187.70709461805558,139.1233085689681,19.072502447916662,102
site_ad3433ffac,31,234.37274431267156,214.71917499064904,131.88490068275073,18.867285790624997,100
site_ad3433ffac,32,279.44601262443456,197.5835946180556,141.22247529008726,27.637139337500003,101
site_ad3433ffac,33,233.79179011007827,164.69000086805553,129.07395871449393,16.12876408757409,102
site_ad3433ffac,34,280.47222077790275,222.6391779513889,148.49815702171335,25.31947446875,101
site_ad3433ffac,35,267.36863745626323,214.09706930456707,159.8702529478331,18.66754516241319,100
site_ad3433ffac,36,268.82790760874457,176.3396934780992,162.88417892853155,22.18843585529514,102
site_ad3433ffac,37,281.0220836030706,218.4536909722222,157.3433560781254,32.282988800520826,98
site_ad3433ffac,38,271.39928964453304,205.98059201388884,155.2798697212316,34.88078835694445,101
site_ad3433ffac,39,268.34622128544953,223.361125,159.37172149729489,21.11526870590277,99
site_ad3433ffac,40,278.99275772919884,190.3787143462668,165.81484198933575,25.383672693198697,98
site_ad3433ffac,41,267.4586623829531,180.41753406852467,165.40949747758185,26.64842265625,98
